30|Audits, papers and findings|M-09|SCR-062, SCR-064, SCR-065|E-51,E-53,E-54|29|An auditor pulls a control's evidence from the model, raises a finding from a failed paper, and the finding refuses to close on the owner's say-so|not started|D-010,D-022|||R-037,R-039
31|Incidents and regulator clocks|M-08|SCR-037, SCR-038, SCR-097 to SCR-099|E-47,E-48,E-49|28,30|One incident, three clocks from detection, one timeline, one evidence set, three outputs, and closure refused while a track is unfiled|not started||DN-013||R-033,R-034,R-035
32|The loss book|M-08|GAP-SCR-006|E-50|31|Gross, recovery and derived net across incidents and confirmed frauds, on one taxonomy|not started|D-026|||R-036
33|Regulatory change|M-13|SCR-051, SCR-052|E-62,E-63|22|A change arrives, its impact is computed, every owner is alerted with nobody pressing send, and closure is refused while one is unacknowledged|not started||||R-048,R-049
34|Third parties and the derived tier|M-12|SCR-028, SCR-029|E-59,E-60,E-61|28|The tier rises on its own when assurance lapses, every point of it is attributed, and nobody can type Low over it|not started||DN-010,DN-011||R-045,R-046,R-047
35|The campaign container and assessment|M-11|SCR-030, SCR-031, SCR-032|E-57,E-58|34|An owner re-scores, a checker returns one and approves another, and the register changes as a result, traceably|not started|D-025||ER-007|R-042,R-043,R-044
36|Attestation|M-11|SCR-033|E-58|35,22|The rate is against the current version, and a cannot-comply declaration becomes a real time-boxed exception|not started|D-019|||R-044
37|Third-party diligence|M-11|SCR-034|E-58|35,34|The response is pre-filled from the register, submission is blocked while gaps remain, and approval writes the criticality and the diligence date back|not started||||R-044
38|Data inventory and consent|M-15|SCR-060|E-73,E-75,E-76|16|The inventory a locate stage searches, with retention rules that can be cited on a refusal|not started||||R-052
39|Data-subject requests|M-15|SCR-061|E-74|38|An erasure that cannot be met in full, refused in part with the statutory rule cited, and the audit record produced|not started|D-024|||R-053
40|Case access and computed recusal|M-14|none|E-67,E-68|31|A persona switch does not open a sealed case; a recused person is refused despite their role; a sealed case is counted and never sent|not started|D-023|DN-012||R-050,R-051
41|Speak-up|M-14|SCR-041, SCR-042|E-64,E-65,E-66|40|The identity is not stored anywhere the platform can render it; the two clocks chase the ethics office and never the reporter; closure is refused without an outcome and feedback|not started|D-006|||R-050,R-051
42|Fraud cases|M-14|SCR-039, SCR-040|E-69,E-70,E-71,E-72|41,32|The case's shape decides its regulatory tracks; a conversion carries the reference code and nothing else; the outcome is pushed into the register|not started|D-006,D-026|||R-050,R-051
43|Settings, read and write|M-16|SCR-071 to SCR-078|E-77,E-78,E-79,E-80|01|Every section is readable by everyone and writable only by the administrator, and every change is maker-checked before it takes effect|not started||||R-059
44|The audit log surface|M-16|SCR-079|E-09|43|The chain verifies on demand, the log is readable by the second and third lines, and the administrator cannot edit it|not started|D-017||ER-011|R-060,R-061
45|Connectors, committees and delegation|M-16|SCR-070, SCR-076, GAP-SCR-004, GAP-SCR-008, GAP-SCR-009|E-79,E-81|44|A feed that cannot see degrades the rules that depend on it; a simulated spoke is labelled simulated; a delegate inherits queue items and maker rights and never approval rights|not started||DN-014||R-058
46|Report templates|M-18|SCR-090, SCR-102|E-84|37,42,45|An export names its basis and the filters applied on the face of it, under the caller's own scope|not started||||R-057
47|Committee packs|M-18|SCR-091|E-82,E-83|46|A pack produced from live data under a named basis, its narrative approved by a second person, and issuing it filed as evidence against the meeting duty|not started||||R-055,R-056
48|The sector pack|M-18|SCR-059|n/a|47|One regulator's duties, committees, monitoring and templates in one place, with the slug and the sections data driven rather than routed by sector name|not started||DN-004||R-054
49|My Queue|M-17|SCR-010, SCR-085|n/a|48|Every module's work in one list, scoped and case-gated at source, short enough for a first-line owner to clear in a sitting|not started|||ER-003|R-003
50|Working dashboards|M-17|SCR-002 to SCR-007|n/a|49|Six altitudes over the same records, every number carrying its denominator and drilling into the query that produced it|not started|D-021|||R-004
51|Board and committee cockpits|M-17|SCR-001, SCR-008, SCR-009, SCR-084|n/a|50|No stored headline, no synthesised series, and a window that reads since go-live until real history exists|not started|D-008,D-013|||R-004,R-028,R-035
52|The guided tour|M-17|SCR-093|n/a|51|A tour that walks the connected model over records that exist in a real deployment, or no tour at all|not started||DN-016||
